trip_id,pickup_zone_id,drop_zone_id,drop_zone_type,request_ts,trip_distance_km,captain_cancelled,got_return_fare_within_20min,fare_inr
TRP00036169,APT-T1,CBD-02,city_core,2026-05-01 00:00:00,8.18,0,1,148.0
TRP00018764,APT-T1,SUB-07,suburban,2026-05-01 00:00:00,21.1,0,0,302.0
TRP00027350,APT-T2,TECH-03,tech_park,2026-05-01 00:00:00,14.22,0,0,231.0
TRP00058214,APT-T2,TECH-03,tech_park,2026-05-01 00:00:00,9.81,0,0,207.0
TRP00044709,APT-T1,SUB-07,suburban,2026-05-01 00:00:00,18.02,1,0,333.0
TRP00049850,APT-T2,CBD-02,city_core,2026-05-01 00:00:00,10.82,0,0,182.0
TRP00032979,APT-T2,CBD-01,city_core,2026-05-01 00:00:00,24.68,0,0,353.0
TRP00050927,APT-T1,SUB-07,suburban,2026-05-01 00:00:00,17.08,0,0,273.0
TRP00013938,APT-T1,TECH-03,tech_park,2026-05-01 00:00:00,19.56,0,0,294.0
TRP00012789,APT-T1,CBD-01,city_core,2026-05-01 00:00:00,10.16,0,0,203.0
TRP00052078,APT-T2,SUB-11,suburban,2026-05-01 00:00:00,33.7,0,0,488.0
TRP00007370,APT-T2,CBD-01,city_core,2026-05-01 00:00:00,28.4,0,0,421.0
TRP00011530,APT-T1,SUB-07,suburban,2026-05-01 00:00:00,25.23,0,0,410.0
TRP00057322,APT-T2,CBD-02,city_core,2026-05-01 00:00:00,13.74,0,0,215.0
TRP00015977,APT-T2,CBD-02,city_core,2026-05-01 00:00:00,9.72,1,1,130.0
TRP00035981,APT-T2,TECH-03,tech_park,2026-05-01 00:00:00,13.16,0,0,169.0
TRP00057926,APT-T2,CBD-02,city_core,2026-05-01 00:00:00,17.62,1,1,240.0
TRP00014871,APT-T1,CBD-02,city_core,2026-05-01 00:00:00,9.95,0,0,137.0
TRP00049286,APT-T2,CBD-01,city_core,2026-05-01 00:00:00,17.9,1,1,234.0
TRP00034034,APT-T2,CBD-01,city_core,2026-05-01 00:00:00,10.24,0,1,155.0
TRP00023025,APT-T1,TECH-03,tech_park,2026-05-01 00:00:00,13.6,0,0,263.0
TRP00051712,APT-T2,SUB-11,suburban,2026-05-01 00:00:00,18.46,0,0,267.0
TRP00012948,APT-T1,CBD-01,city_core,2026-05-01 00:00:00,12.63,0,1,186.0
TRP00025837,APT-T1,SUB-11,suburban,2026-05-01 00:00:00,19.67,0,0,320.0
TRP00015523,APT-T2,TECH-03,tech_park,2026-05-01 00:00:00,19.9,0,0,350.0
TRP00022185,APT-T1,SUB-11,suburban,2026-05-01 00:00:00,27.39,1,0,398.0
TRP00005064,APT-T2,SUB-07,suburban,2026-05-01 00:00:00,24.92,0,1,360.0
TRP00017284,APT-T2,CBD-01,city_core,2026-05-01 00:00:00,11.24,0,1,201.0
TRP00004608,APT-T1,SUB-11,suburban,2026-05-01 00:00:00,31.75,0,0,489.0
TRP00043042,APT-T1,TECH-03,tech_park,2026-05-01 00:00:00,22.41,0,0,334.0
TRP00021413,APT-T1,CBD-02,city_core,2026-05-01 00:00:00,7.53,0,0,114.0
TRP00037777,APT-T2,CBD-01,city_core,2026-05-01 00:00:00,21.38,0,1,307.0
TRP00057858,APT-T2,SUB-07,suburban,2026-05-01 00:00:00,19.37,0,0,275.0
TRP00017834,APT-T1,SUB-07,suburban,2026-05-01 00:00:00,16.01,0,0,287.0
TRP00019088,APT-T2,SUB-11,suburban,2026-05-01 00:00:00,25.02,0,0,361.0
TRP00030104,APT-T1,CBD-01,city_core,2026-05-01 00:00:00,4.81,0,1,133.0
TRP00030230,APT-T2,TECH-03,tech_park,2026-05-01 00:00:00,5.74,0,0,142.0
TRP00033189,APT-T2,SUB-11,suburban,2026-05-01 00:00:00,10.75,0,0,181.0
TRP00011507,APT-T1,SUB-11,suburban,2026-05-01 00:00:00,26.0,1,0,383.0
TRP00015218,APT-T1,CBD-01,city_core,2026-05-01 00:00:00,16.98,0,0,262.0
TRP00050822,APT-T2,TECH-03,tech_park,2026-05-01 01:00:00,20.21,0,0,309.0
TRP00002170,APT-T1,TECH-03,tech_park,2026-05-01 01:00:00,18.44,0,0,291.0
TRP00024506,APT-T2,SUB-07,suburban,2026-05-01 01:00:00,16.12,0,1,230.0
TRP00039447,APT-T2,CBD-02,city_core,2026-05-01 01:00:00,7.56,0,0,154.0
TRP00023305,APT-T1,CBD-01,city_core,2026-05-01 01:00:00,6.44,0,0,129.0
TRP00056496,APT-T1,CBD-02,city_core,2026-05-01 01:00:00,14.77,1,0,264.0
TRP00019299,APT-T2,SUB-07,suburban,2026-05-01 01:00:00,15.14,0,1,227.0
TRP00014554,APT-T2,CBD-02,city_core,2026-05-01 01:00:00,17.46,0,1,313.0
TRP00009549,APT-T1,CBD-01,city_core,2026-05-01 01:00:00,15.86,0,0,258.0
TRP00056871,APT-T1,SUB-07,suburban,2026-05-01 01:00:00,24.91,0,0,383.0
TRP00016069,APT-T2,SUB-07,suburban,2026-05-01 01:00:00,14.64,0,0,290.0
TRP00027353,APT-T1,CBD-01,city_core,2026-05-01 01:00:00,12.2,0,0,197.0
TRP00038772,APT-T2,SUB-11,suburban,2026-05-01 01:00:00,18.92,0,0,280.0
TRP00041462,APT-T1,TECH-03,tech_park,2026-05-01 01:00:00,25.78,1,0,346.0
