captain_id,decision_ts,final_status,last_stage_reached,docs_cleared
CPT104359,2026-01-06 08:11:48.775157583,approved,,6
CPT120008,,dropped_in_docs,AADHAAR,2
CPT102049,,dropped_in_docs,PERMIT,3
CPT123006,,dropped_in_docs,INSURANCE,5
CPT102642,,dropped_in_docs,PERMIT,3
CPT105916,2026-01-07 09:40:02.632133424,approved,,6
CPT123016,,dropped_in_docs,RC,1
CPT103410,,dropped_in_docs,INSURANCE,5
CPT107181,2026-01-08 21:10:39.912791885,rejected,background_check_failed,6
CPT122385,,dropped_in_docs,FITNESS,4
CPT100037,,dropped_in_docs,RC,1
CPT110674,,dropped_in_docs,FITNESS,4
CPT123379,,dropped_in_docs,DL,0
CPT122382,,dropped_in_docs,AADHAAR,2
CPT112371,,dropped_in_docs,RC,1
CPT115782,2026-01-07 21:52:09.682255462,approved,,5
CPT115990,,dropped_in_docs,PERMIT,3
CPT117042,,dropped_in_docs,RC,1
CPT124093,2026-01-08 05:26:43.331649227,approved,,6
CPT108545,,dropped_in_docs,FITNESS,4
CPT118819,,dropped_in_docs,RC,1
CPT117473,,dropped_in_docs,FITNESS,4
CPT122490,,dropped_in_docs,FITNESS,4
CPT108728,,dropped_in_docs,FITNESS,4
CPT111180,,dropped_in_docs,DL,0
CPT104874,,dropped_in_docs,RC,1
CPT112334,,dropped_in_docs,DL,0
CPT100614,,dropped_in_docs,DL,0
CPT121214,,dropped_in_docs,FITNESS,4
CPT119518,,dropped_in_docs,RC,1
CPT104764,,dropped_in_docs,PERMIT,3
CPT101207,2026-01-07 20:41:13.575135833,approved,,5
CPT103242,2026-01-05 21:40:24.347261353,approved,,6
CPT122017,,dropped_in_docs,DL,0
CPT116706,,dropped_in_docs,INSURANCE,5
CPT121842,,dropped_in_docs,INSURANCE,5
CPT115555,,dropped_in_docs,INSURANCE,5
CPT124771,,dropped_in_docs,DL,0
CPT123806,,dropped_in_docs,RC,1
CPT103112,,dropped_in_docs,RC,1
CPT124911,,dropped_in_docs,AADHAAR,2
CPT117151,,dropped_in_docs,AADHAAR,2
CPT114694,2026-01-06 23:38:02.951913831,approved,,6
CPT105361,2026-01-08 03:04:24.548968195,approved,,6
CPT122754,2026-01-07 04:37:31.812711483,approved,,6
CPT119361,,dropped_in_docs,FITNESS,4
CPT106310,,dropped_in_docs,PERMIT,3
CPT114983,2026-01-08 12:42:25.654189302,approved,,6
CPT104354,,dropped_in_docs,DL,0
CPT124428,,dropped_in_docs,RC,1
CPT118169,,dropped_in_docs,PERMIT,3
CPT108086,,dropped_in_docs,FITNESS,4
CPT100865,,dropped_in_docs,RC,1
CPT121574,,dropped_in_docs,AADHAAR,2
CPT104246,,dropped_in_docs,INSURANCE,5
CPT105732,,dropped_in_docs,RC,1
CPT118244,2026-01-08 15:56:23.234484889,approved,,6
CPT116214,,dropped_in_docs,RC,1
CPT111071,,dropped_in_docs,RC,1
CPT118384,,dropped_in_docs,PERMIT,3
CPT111710,,dropped_in_docs,RC,1
CPT105603,,dropped_in_docs,INSURANCE,5
CPT112135,,dropped_in_docs,RC,1
CPT113441,,dropped_in_docs,INSURANCE,5
CPT122638,,dropped_in_docs,INSURANCE,5
CPT121448,2026-01-07 20:26:59.380871068,approved,,6
CPT103424,,dropped_in_docs,INSURANCE,5
CPT123958,,dropped_in_docs,RC,1
CPT104054,,dropped_in_docs,PERMIT,3
CPT113494,2026-01-08 04:34:03.530973387,approved,,6
CPT108255,,dropped_in_docs,AADHAAR,2
CPT113903,,dropped_in_docs,FITNESS,4
CPT102544,,dropped_in_docs,AADHAAR,2
CPT101585,,dropped_in_docs,FITNESS,4
CPT117717,,dropped_in_docs,RC,1
CPT124627,,dropped_in_docs,DL,0
CPT102803,,dropped_in_docs,PERMIT,3
CPT113889,,dropped_in_docs,PERMIT,3
CPT115779,2026-01-08 14:32:33.162801767,rejected,duplicate_captain,6
CPT112620,,dropped_in_docs,FITNESS,4
CPT103397,,dropped_in_docs,PERMIT,3
CPT115021,,dropped_in_docs,PERMIT,3
CPT102749,,dropped_in_docs,RC,1
CPT103928,,dropped_in_docs,FITNESS,4
CPT101520,,dropped_in_docs,RC,1
CPT122425,,dropped_in_docs,INSURANCE,5
CPT113968,2026-01-10 08:34:48.851873154,approved,,6
CPT106306,,dropped_in_docs,INSURANCE,5
CPT114854,,dropped_in_docs,RC,1
CPT107824,,dropped_in_docs,PERMIT,3
CPT123305,,dropped_in_docs,RC,1
CPT110483,,dropped_in_docs,RC,1
CPT118023,,dropped_in_docs,RC,1
CPT104960,,dropped_in_docs,RC,1
CPT105466,,dropped_in_docs,RC,1
CPT120812,,dropped_in_docs,PERMIT,3
CPT118479,,dropped_in_docs,DL,0
CPT109776,2026-01-07 08:58:02.076310511,approved,,5
CPT105349,,dropped_in_docs,FITNESS,4
CPT110504,,dropped_in_docs,INSURANCE,5
CPT115765,2026-01-09 09:04:42.738280452,approved,,5
CPT116547,,dropped_in_docs,PERMIT,3
CPT117008,,dropped_in_docs,FITNESS,4
CPT109242,,dropped_in_docs,FITNESS,4
CPT106452,,dropped_in_docs,FITNESS,4
CPT119558,,dropped_in_docs,DL,0
CPT118211,,dropped_in_docs,INSURANCE,5
CPT104234,,dropped_in_docs,INSURANCE,5
CPT117393,2026-01-07 11:50:28.755079901,approved,,6
CPT117491,,dropped_in_docs,RC,1
CPT100006,2026-01-09 13:35:30.632632771,approved,,6
