captain_id,signup_ts,city,vehicle_type,acquisition_channel,signup_zone_id,device_tier,app_language,age_band
CPT104359,2026-01-01 06:08:00,Pune,Auto,organic_app,PUN-Z23,low,kn,25-34
CPT120008,2026-01-01 06:52:00,Pune,Cab,referral,PUN-Z05,mid,mr,45+
CPT102049,2026-01-01 07:02:00,Hyderabad,Cab,organic_app,HYD-Z01,high,te,35-44
CPT123006,2026-01-01 07:15:00,Pune,Cab,organic_app,PUN-Z11,high,hi,25-34
CPT102642,2026-01-01 07:27:00,Bangalore,ERickshaw,gc_telecalling,BAN-Z06,low,hi,18-24
CPT105916,2026-01-01 07:32:00,Delhi,Cab,fos_field,DEL-Z20,high,hi,35-44
CPT123016,2026-01-01 08:02:00,Hyderabad,Cab,organic_app,HYD-Z13,low,hi,35-44
CPT103410,2026-01-01 08:20:00,Hyderabad,Auto,fos_field,HYD-Z20,mid,hi,45+
CPT107181,2026-01-01 08:24:00,Hyderabad,Auto,organic_app,HYD-Z16,low,en,25-34
CPT122385,2026-01-01 08:28:00,Hyderabad,Cab,paid_digital,HYD-Z17,low,en,25-34
CPT100037,2026-01-01 08:38:00,Delhi,Auto,fos_field,DEL-Z15,low,te,18-24
CPT110674,2026-01-01 08:39:00,Delhi,ERickshaw,paid_digital,DEL-Z19,high,te,18-24
CPT123379,2026-01-01 08:42:00,Delhi,ERickshaw,organic_app,DEL-Z18,low,hi,25-34
CPT122382,2026-01-01 08:54:00,Pune,Auto,organic_app,PUN-Z12,low,hi,25-34
CPT112371,2026-01-01 09:00:00,Pune,Auto,referral,PUN-Z05,low,mr,35-44
CPT115782,2026-01-01 09:10:00,Delhi,ERickshaw,paid_digital,DEL-Z15,mid,en,45+
CPT115990,2026-01-01 09:18:00,Hyderabad,Auto,fos_field,HYD-Z11,mid,hi,18-24
CPT117042,2026-01-01 09:22:00,Hyderabad,Auto,paid_digital,HYD-Z02,low,en,25-34
CPT124093,2026-01-01 09:24:00,Hyderabad,Cab,organic_app,HYD-Z13,low,te,45+
CPT108545,2026-01-01 09:43:00,Delhi,Cab,referral,DEL-Z06,low,kn,25-34
CPT118819,2026-01-01 09:44:00,Bangalore,Cab,referral,BAN-Z12,low,hi,35-44
CPT117473,2026-01-01 09:59:00,Bangalore,Auto,organic_app,BAN-Z17,low,te,35-44
CPT122490,2026-01-01 10:04:00,Hyderabad,Auto,organic_app,HYD-Z13,low,hi,45+
