event_id,captain_id,doc_type,attempt_no,event_type,event_ts,failure_reason
EV000000000,CPT104359,DL,1,upload_success,2026-01-01 20:30:06.229672479,
EV000000001,CPT104359,DL,1,verification_pass,2026-01-01 23:26:54.472703731,
EV000000002,CPT104359,RC,1,upload_success,2026-01-02 09:36:49.336302871,
EV000000003,CPT104359,RC,1,verification_pass,2026-01-02 12:41:51.324092998,
EV000000004,CPT104359,AADHAAR,1,upload_success,2026-01-02 14:06:20.401070690,
EV000000005,CPT104359,AADHAAR,1,verification_pass,2026-01-02 16:40:51.723959147,
EV000000006,CPT104359,PERMIT,1,upload_success,2026-01-02 23:00:12.349700811,
EV000000007,CPT104359,PERMIT,1,verification_pass,2026-01-03 17:17:33.703735961,
EV000000008,CPT104359,FITNESS,1,upload_success,2026-01-03 22:58:55.179703249,
EV000000009,CPT104359,FITNESS,1,verification_fail,2026-01-04 05:05:39.503473271,image_blurred
EV000000010,CPT104359,FITNESS,2,upload_success,2026-01-04 09:56:24.586451757,
EV000000011,CPT104359,FITNESS,2,verification_pass,2026-01-04 20:35:11.890080814,
EV000000012,CPT104359,INSURANCE,1,upload_success,2026-01-05 11:23:44.608970174,
EV000000013,CPT104359,INSURANCE,1,verification_pass,2026-01-06 02:49:22.655889459,
EV000000014,CPT120008,DL,1,upload_success,2026-01-01 18:48:28.243674965,
EV000000015,CPT120008,DL,1,verification_pass,2026-01-01 19:41:43.842163757,
EV000000016,CPT120008,RC,1,upload_success,2026-01-02 03:54:15.955716093,
EV000000017,CPT120008,RC,1,verification_pass,2026-01-02 15:45:25.081808693,
EV000000018,CPT102049,DL,1,upload_success,2026-01-01 13:34:33.719259714,
EV000000019,CPT102049,DL,1,verification_pass,2026-01-01 21:42:28.861812184,
EV000000020,CPT102049,RC,1,upload_success,2026-01-02 08:22:47.826103151,
EV000000021,CPT102049,RC,1,verification_pass,2026-01-02 12:11:51.240619477,
EV000000022,CPT102049,AADHAAR,1,upload_success,2026-01-03 01:09:17.302060049,
EV000000023,CPT102049,AADHAAR,1,verification_fail,2026-01-03 04:48:05.387178211,details_not_legible
EV000000024,CPT102049,AADHAAR,2,upload_success,2026-01-03 18:08:29.479326661,
EV000000025,CPT102049,AADHAAR,2,verification_pass,2026-01-03 18:31:47.661753621,
EV000000026,CPT123006,DL,1,upload_success,2026-01-02 01:51:14.767137232,
EV000000027,CPT123006,DL,1,verification_fail,2026-01-02 12:05:17.833282863,name_mismatch
EV000000028,CPT123006,DL,2,upload_success,2026-01-02 12:51:34.567914755,
EV000000029,CPT123006,DL,2,verification_pass,2026-01-02 15:42:48.753600689,
EV000000030,CPT123006,RC,1,upload_success,2026-01-03 03:59:56.632235110,
EV000000031,CPT123006,RC,1,verification_pass,2026-01-03 06:31:30.907154741,
EV000000032,CPT123006,AADHAAR,1,upload_success,2026-01-03 15:22:11.962848491,
EV000000033,CPT123006,AADHAAR,1,verification_pass,2026-01-03 20:40:45.841012064,
EV000000034,CPT123006,PERMIT,1,upload_success,2026-01-04 01:16:11.079278379,
EV000000035,CPT123006,PERMIT,1,verification_pass,2026-01-04 05:45:29.014106146,
EV000000036,CPT123006,FITNESS,1,upload_success,2026-01-04 17:09:44.300161970,
EV000000037,CPT123006,FITNESS,1,verification_pass,2026-01-04 18:57:22.387912060,
EV000000038,CPT102642,DL,1,upload_success,2026-01-01 13:30:50.795752785,
EV000000039,CPT102642,DL,1,verification_pass,2026-01-02 07:03:10.268429142,
EV000000040,CPT102642,RC,1,upload_success,2026-01-02 10:26:08.855892430,
EV000000041,CPT102642,RC,1,verification_pass,2026-01-02 15:33:53.221360704,
EV000000042,CPT102642,AADHAAR,1,upload_success,2026-01-03 03:21:32.550591973,
EV000000043,CPT102642,AADHAAR,1,verification_pass,2026-01-03 12:47:29.837778936,
EV000000044,CPT105916,DL,1,upload_success,2026-01-01 19:53:31.917321314,
EV000000045,CPT105916,DL,1,verification_fail,2026-01-02 23:37:32.029566624,wrong_document_type
EV000000046,CPT105916,DL,2,upload_success,2026-01-03 11:19:35.537460491,
EV000000047,CPT105916,DL,2,verification_pass,2026-01-03 18:08:05.551005609,
EV000000048,CPT105916,RC,1,upload_success,2026-01-04 07:27:53.883210106,
EV000000049,CPT105916,RC,1,verification_pass,2026-01-04 15:42:42.315905158,
EV000000050,CPT105916,AADHAAR,1,upload_success,2026-01-05 00:59:24.443843180,
EV000000051,CPT105916,AADHAAR,1,verification_pass,2026-01-05 09:43:20.669466527,
EV000000052,CPT105916,PERMIT,1,upload_success,2026-01-05 17:06:55.246425989,
EV000000053,CPT105916,PERMIT,1,verification_pass,2026-01-06 09:22:33.850151529,
EV000000054,CPT105916,FITNESS,1,upload_success,2026-01-06 11:47:46.228720877,
EV000000055,CPT105916,FITNESS,1,verification_pass,2026-01-06 21:41:02.454465190,
EV000000056,CPT105916,INSURANCE,1,upload_success,2026-01-07 06:08:54.793102356,
EV000000057,CPT105916,INSURANCE,1,verification_pass,2026-01-07 06:17:50.918417256,
EV000000058,CPT123016,DL,1,upload_success,2026-01-01 23:00:47.187493276,
EV000000059,CPT123016,DL,1,verification_pass,2026-01-02 08:32:18.555039216,
EV000000060,CPT123016,RC,1,upload_success,2026-01-02 12:30:16.071862459,
EV000000061,CPT123016,RC,1,verification_fail,2026-01-03 00:27:46.766457199,image_blurred
EV000000062,CPT103410,DL,1,upload_success,2026-01-01 21:07:14.304943058,
EV000000063,CPT103410,DL,1,verification_pass,2026-01-02 19:16:29.130282601,
EV000000064,CPT103410,RC,1,upload_success,2026-01-04 07:25:28.048363884,
EV000000065,CPT103410,RC,1,verification_pass,2026-01-05 03:07:40.231970977,
EV000000066,CPT103410,AADHAAR,1,upload_success,2026-01-05 18:47:03.383165686,
EV000000067,CPT103410,AADHAAR,1,verification_pass,2026-01-06 01:29:55.620372617,
EV000000068,CPT103410,PERMIT,1,upload_success,2026-01-06 23:42:46.220218976,
EV000000069,CPT103410,PERMIT,1,verification_pass,2026-01-07 08:38:38.076048579,
EV000000070,CPT103410,FITNESS,1,upload_success,2026-01-07 11:41:13.289688038,
EV000000071,CPT103410,FITNESS,1,verification_pass,2026-01-07 15:43:49.539334246,
EV000000072,CPT107181,DL,1,upload_success,2026-01-01 21:41:08.377734327,
EV000000073,CPT107181,DL,1,verification_pass,2026-01-02 02:24:15.302441307,
EV000000074,CPT107181,RC,1,upload_success,2026-01-03 05:38:03.280612867,
EV000000075,CPT107181,RC,1,verification_pass,2026-01-03 23:04:50.018403328,
EV000000076,CPT107181,AADHAAR,1,upload_success,2026-01-04 03:22:37.894249986,
EV000000077,CPT107181,AADHAAR,1,verification_pass,2026-01-04 04:33:27.137022461,
EV000000078,CPT107181,PERMIT,1,upload_success,2026-01-04 19:12:38.620344651,
EV000000079,CPT107181,PERMIT,1,verification_pass,2026-01-04 19:39:23.049427464,
EV000000080,CPT107181,FITNESS,1,upload_success,2026-01-05 18:10:23.653062923,
EV000000081,CPT107181,FITNESS,1,verification_pass,2026-01-06 06:21:36.494499119,
EV000000082,CPT107181,INSURANCE,1,upload_success,2026-01-06 17:16:51.288961103,
EV000000083,CPT107181,INSURANCE,1,verification_fail,2026-01-07 00:28:47.573141101,ocr_low_confidence
EV000000084,CPT107181,INSURANCE,2,upload_success,2026-01-07 13:21:49.320703865,
EV000000085,CPT107181,INSURANCE,2,verification_pass,2026-01-07 22:33:15.966752851,
EV000000086,CPT122385,DL,1,upload_success,2026-01-01 22:26:48.385930900,
EV000000087,CPT122385,DL,1,verification_pass,2026-01-02 09:08:11.580719235,
EV000000088,CPT122385,RC,1,upload_success,2026-01-02 13:28:06.714591598,
EV000000089,CPT122385,RC,1,verification_pass,2026-01-02 20:20:02.632026774,
EV000000090,CPT122385,AADHAAR,1,upload_success,2026-01-03 10:17:54.992934133,
EV000000091,CPT122385,AADHAAR,1,verification_pass,2026-01-03 13:34:15.608984651,
EV000000092,CPT122385,PERMIT,1,upload_success,2026-01-03 14:44:01.142403285,
EV000000093,CPT122385,PERMIT,1,verification_pass,2026-01-03 17:39:48.169024608,
EV000000094,CPT100037,DL,1,upload_success,2026-01-01 14:29:02.547602013,
EV000000095,CPT100037,DL,1,verification_fail,2026-01-02 00:38:20.125601499,image_blurred
EV000000096,CPT100037,DL,2,upload_success,2026-01-02 00:45:52.791918140,
EV000000097,CPT100037,DL,2,verification_pass,2026-01-02 02:44:56.878349496,
EV000000098,CPT100037,RC,1,upload_success,2026-01-02 19:34:03.535166615,
EV000000099,CPT100037,RC,1,verification_fail,2026-01-02 20:50:55.987310995,image_blurred
