captain_id,campaign_id,channel,sent_ts,delivered,clicked
CPT104359,CAMP_SMS_004,sms,2026-01-02 01:31:34.373244464,1,0
CPT102049,CAMP_WA_002,whatsapp,2026-01-02 20:02:31.634258914,1,0
CPT123006,CAMP_WA_002,whatsapp,2026-01-03 11:32:05.154545929,1,1
CPT105916,CAMP_WA_002,whatsapp,2026-01-05 01:25:34.559467887,1,1
CPT107181,CAMP_WA_001,whatsapp,2026-01-01 23:10:49.644254087,1,0
CPT110674,CAMP_WA_002,whatsapp,2026-01-03 21:38:25.376680106,0,1
CPT122382,CAMP_CALL_009,outbound_call,2026-01-02 04:49:33.800694897,1,1
CPT115782,CAMP_WA_002,whatsapp,2026-01-04 19:53:26.995722915,1,1
CPT115782,CAMP_SMS_004,sms,2026-01-02 11:18:51.018661770,1,1
CPT115990,CAMP_WA_002,whatsapp,2026-01-02 12:07:52.213424314,1,1
CPT117042,CAMP_SMS_004,sms,2026-01-02 06:10:10.035919820,1,0
CPT117473,CAMP_WA_002,whatsapp,2026-01-04 03:09:32.880608364,0,1
CPT122490,CAMP_WA_002,whatsapp,2026-01-03 23:22:53.846254517,1,0
CPT122490,CAMP_WA_001,whatsapp,2026-01-02 00:11:42.308566803,1,0
CPT108728,CAMP_WA_002,whatsapp,2026-01-04 23:27:50.698288152,1,0
CPT108728,CAMP_WA_001,whatsapp,2026-01-03 04:49:20.608023551,1,1
CPT111180,CAMP_WA_001,whatsapp,2026-01-04 04:58:03.100608630,1,0
CPT100614,CAMP_SMS_004,sms,2026-01-03 05:24:57.122586238,1,0
CPT119518,CAMP_WA_001,whatsapp,2026-01-01 23:31:12.928131877,0,0
CPT101207,CAMP_WA_002,whatsapp,2026-01-04 05:17:15.494863220,1,1
CPT103242,CAMP_WA_002,whatsapp,2026-01-03 10:19:20.074974838,0,1
CPT116706,CAMP_SMS_004,sms,2026-01-03 08:26:12.303647501,0,0
CPT121842,CAMP_WA_002,whatsapp,2026-01-04 00:26:23.411564227,1,0
CPT121842,CAMP_WA_001,whatsapp,2026-01-02 20:04:38.621363797,0,0
CPT115555,CAMP_WA_002,whatsapp,2026-01-03 16:20:32.631028385,1,0
CPT103112,CAMP_WA_001,whatsapp,2026-01-02 13:00:36.216100653,1,0
CPT124911,CAMP_WA_002,whatsapp,2026-01-03 19:59:58.605319338,1,1
CPT124911,CAMP_CALL_009,outbound_call,2026-01-02 00:00:27.195379336,1,0
CPT117151,CAMP_WA_002,whatsapp,2026-01-03 19:33:31.290276253,1,1
CPT117151,CAMP_WA_001,whatsapp,2026-01-02 05:03:27.488539679,1,0
CPT114694,CAMP_WA_002,whatsapp,2026-01-03 20:35:29.673168725,1,1
CPT105361,CAMP_WA_002,whatsapp,2026-01-04 15:34:11.129348203,1,0
CPT122754,CAMP_SMS_004,sms,2026-01-03 00:53:24.491613140,1,0
CPT119361,CAMP_WA_002,whatsapp,2026-01-05 12:37:01.659644699,1,0
CPT106310,CAMP_WA_002,whatsapp,2026-01-03 14:34:17.094055768,1,0
CPT106310,CAMP_SMS_004,sms,2026-01-02 23:32:27.823477123,1,0
CPT118169,CAMP_WA_002,whatsapp,2026-01-06 05:01:05.175250453,1,1
CPT108086,CAMP_WA_002,whatsapp,2026-01-04 20:50:07.566528394,0,1
CPT121574,CAMP_WA_001,whatsapp,2026-01-04 21:07:50.678359410,1,1
CPT116214,CAMP_WA_001,whatsapp,2026-01-02 13:43:04.186453383,1,0
CPT118384,CAMP_WA_002,whatsapp,2026-01-04 21:18:12.374634907,1,1
CPT118384,CAMP_WA_001,whatsapp,2026-01-03 17:09:39.880938293,1,0
CPT105603,CAMP_CALL_009,outbound_call,2026-01-02 00:55:10.628128115,1,0
CPT112135,CAMP_SMS_004,sms,2026-01-02 13:43:12.843184442,1,1
CPT113441,CAMP_WA_002,whatsapp,2026-01-04 12:07:31.145008429,1,0
CPT122638,CAMP_SMS_004,sms,2026-01-02 16:47:56.069292113,1,1
CPT121448,CAMP_WA_002,whatsapp,2026-01-04 11:05:15.584861878,1,1
CPT103424,CAMP_WA_002,whatsapp,2026-01-03 12:58:39.912148183,1,1
CPT104054,CAMP_WA_002,whatsapp,2026-01-04 17:52:09.458030211,1,0
CPT113494,CAMP_WA_002,whatsapp,2026-01-04 08:11:25.395473811,0,0
CPT113494,CAMP_WA_001,whatsapp,2026-01-04 04:13:31.923004825,1,1
CPT102544,CAMP_WA_002,whatsapp,2026-01-03 08:00:25.191846476,1,1
CPT102544,CAMP_SMS_004,sms,2026-01-02 03:53:09.994410598,1,0
CPT115779,CAMP_WA_002,whatsapp,2026-01-04 08:03:53.131420600,1,0
CPT112620,CAMP_CALL_009,outbound_call,2026-01-03 08:13:42.940953459,1,0
