,feature,smd_before,smd_after
23,cat__age_band_45+,-0.04073368418613189,0.0008529866709568197
22,cat__age_band_35-44,0.03015667966481475,-5.419593161885027e-05
9,cat__acquisition_channel_organic_app,-0.02826534000576585,-0.00023563059096604028
18,cat__app_language_mr,0.025885397276765826,5.923852046835221e-05
16,cat__app_language_hi,-0.025271326048220417,9.758496914765843e-06
34,num__prior_CAMP_SMS_004,-0.02312830846924872,0.00016921126105543565
27,cat__rc_month_2026-04,-0.022739597260403664,-0.0001203335465721539
3,cat__city_Pune,0.02055326047300555,0.00019305427946067957
12,cat__device_tier_high,-0.020465379061012753,-0.0001450518744143949
25,cat__rc_month_2026-02,0.01871206735220807,-0.0001545116742942465
15,cat__app_language_en,-0.0186195272006522,-7.978456726972025e-05
20,cat__age_band_18-24,-0.01837355724259494,-0.0006568238085689691
8,cat__acquisition_channel_gc_telecalling,0.016281667828378813,0.0013986026435457459
33,num__prior_CAMP_CALL_009,-0.015939747122892835,0.00012989488020910818
0,cat__city_Bangalore,-0.015603569058701089,-0.00019556406646392045
10,cat__acquisition_channel_paid_digital,0.015524612515027724,-0.0008620191217760216
13,cat__device_tier_low,0.01476564659511345,-4.572571208675714e-05
21,cat__age_band_25-34,0.01359706240274924,-7.803388579361369e-07
30,num__dl_to_rc_hours,0.012613055152293877,-5.608569550466005e-05
5,cat__vehicle_type_Cab,0.01234724721795649,-9.765322694055529e-05
