,feature,smd_before,smd_after
0,cat__city_Bangalore,-0.015603569058701089,-0.00019556406646392045
1,cat__city_Delhi,-0.011513785347225655,0.00012660241873847284
2,cat__city_Hyderabad,0.006434023676337663,-0.0001192723739706088
3,cat__city_Pune,0.02055326047300555,0.00019305427946067957
4,cat__vehicle_type_Auto,-0.005635082542721178,5.48613959932806e-05
5,cat__vehicle_type_Cab,0.01234724721795649,-9.765322694055529e-05
6,cat__vehicle_type_ERickshaw,-0.007873408961662753,4.9254791110147436e-05
7,cat__acquisition_channel_fos_field,-0.000439537897969644,-0.00012962781696267687
8,cat__acquisition_channel_gc_telecalling,0.016281667828378813,0.0013986026435457459
9,cat__acquisition_channel_organic_app,-0.02826534000576585,-0.00023563059096604028
10,cat__acquisition_channel_paid_digital,0.015524612515027724,-0.0008620191217760216
11,cat__acquisition_channel_referral,0.011245641529354112,0.00031901024759239857
12,cat__device_tier_high,-0.020465379061012753,-0.0001450518744143949
13,cat__device_tier_low,0.01476564659511345,-4.572571208675714e-05
14,cat__device_tier_mid,0.0007810855592719819,0.00015686818059603536
15,cat__app_language_en,-0.0186195272006522,-7.978456726972025e-05
16,cat__app_language_hi,-0.025271326048220417,9.758496914765843e-06
17,cat__app_language_kn,0.007783682695381214,6.058243717266522e-06
18,cat__app_language_mr,0.025885397276765826,5.923852046835221e-05
19,cat__app_language_te,0.010200387164599327,4.943336873940563e-06
20,cat__age_band_18-24,-0.01837355724259494,-0.0006568238085689691
21,cat__age_band_25-34,0.01359706240274924,-7.803388579361369e-07
22,cat__age_band_35-44,0.03015667966481475,-5.419593161885027e-05
23,cat__age_band_45+,-0.04073368418613189,0.0008529866709568197
24,cat__rc_month_2026-01,0.004419653330420233,7.793756215265103e-05
25,cat__rc_month_2026-02,0.01871206735220807,-0.0001545116742942465
26,cat__rc_month_2026-03,-0.004803117014278087,5.286841514757966e-05
27,cat__rc_month_2026-04,-0.022739597260403664,-0.0001203335465721539
28,cat__rc_month_2026-05,0.0055917596073944255,0.0001346148292017022
29,num__signup_to_dl_hours,0.009408268241991924,-7.158865605439835e-05
30,num__dl_to_rc_hours,0.012613055152293877,-5.608569550466005e-05
31,num__pre_rc_failures,0.01179635004551037,0.00015206811638057078
32,num__pre_rc_uploads,0.011796350045510088,0.00015206811638060136
33,num__prior_CAMP_CALL_009,-0.015939747122892835,0.00012989488020910818
34,num__prior_CAMP_SMS_004,-0.02312830846924872,0.00016921126105543565
35,num__prior_CAMP_WA_001,0.007386310992024041,0.000196456748967116
