,stage,device_tier,eligible,passed,conditional_pass_rate
0,DL,high,3173,2767,0.8720453829183737
1,DL,low,9290,8225,0.8853606027987083
2,DL,mid,7744,6903,0.8913997933884298
3,RC,high,2767,2204,0.7965305384893386
4,RC,low,8225,5532,0.6725835866261398
5,RC,mid,6903,5272,0.7637259162682891
6,AADHAAR,high,2204,1963,0.8906533575317604
7,AADHAAR,low,5532,4980,0.9002169197396963
8,AADHAAR,mid,5272,4688,0.8892261001517451
9,PERMIT,high,1596,1196,0.7493734335839599
10,PERMIT,low,4049,3078,0.7601877006668313
11,PERMIT,mid,3757,2785,0.7412829385147724
12,FITNESS,high,1563,1271,0.8131797824696098
13,FITNESS,low,4009,2747,0.6852082813669245
14,FITNESS,mid,3716,2849,0.7666846071044133
15,INSURANCE,high,1271,804,0.6325727773406766
16,INSURANCE,low,2747,1421,0.517291590826356
17,INSURANCE,mid,2849,1663,0.5837135837135837
