,doc_type,failure_reason,failure_events,unique_captains
38,RC,image_blurred,1865,1742
40,RC,ocr_low_confidence,1460,1380
39,RC,name_mismatch,910,891
36,RC,document_expired,755,744
35,RC,details_not_legible,689,672
41,RC,wrong_document_type,643,626
17,FITNESS,image_blurred,627,596
11,DL,name_mismatch,563,559
10,DL,image_blurred,499,497
19,FITNESS,ocr_low_confidence,491,466
24,INSURANCE,image_blurred,461,440
8,DL,document_expired,432,431
12,DL,ocr_low_confidence,412,409
37,RC,duplicate_document,372,369
7,DL,details_not_legible,343,342
26,INSURANCE,ocr_low_confidence,352,339
18,FITNESS,name_mismatch,326,326
29,PERMIT,document_expired,335,318
13,DL,wrong_document_type,318,314
32,PERMIT,name_mismatch,290,287
4,AADHAAR,name_mismatch,255,254
25,INSURANCE,name_mismatch,264,253
15,FITNESS,document_expired,245,243
14,FITNESS,details_not_legible,246,243
21,INSURANCE,details_not_legible,236,234
3,AADHAAR,image_blurred,224,223
31,PERMIT,image_blurred,225,223
9,DL,duplicate_document,205,205
20,FITNESS,wrong_document_type,203,202
22,INSURANCE,document_expired,204,202
34,PERMIT,wrong_document_type,206,201
33,PERMIT,ocr_low_confidence,196,196
1,AADHAAR,document_expired,186,186
27,INSURANCE,wrong_document_type,178,175
5,AADHAAR,ocr_low_confidence,156,156
28,PERMIT,details_not_legible,155,154
6,AADHAAR,wrong_document_type,143,143
16,FITNESS,duplicate_document,130,130
0,AADHAAR,details_not_legible,123,123
30,PERMIT,duplicate_document,114,114
2,AADHAAR,duplicate_document,90,90
23,INSURANCE,duplicate_document,85,83
