doc_type,device_tier,decided_first_attempts,failed_first_attempts,failure_rate
AADHAAR,high,2054,190,0.09250243427458617
AADHAAR,low,5151,489,0.09493302271403611
AADHAAR,mid,4878,488,0.1000410004100041
DL,high,2975,468,0.1573109243697479
DL,low,8708,1185,0.13608176389526871
DL,mid,7276,1037,0.1425233644859813
FITNESS,high,1335,180,0.1348314606741573
FITNESS,low,3282,1172,0.3570993296770262
FITNESS,mid,3077,634,0.20604484887877803
INSURANCE,high,880,195,0.2215909090909091
INSURANCE,low,1829,792,0.4330235101148168
INSURANCE,mid,1877,506,0.26957911561001596
PERMIT,high,1292,247,0.19117647058823528
PERMIT,low,3312,599,0.1808574879227053
PERMIT,mid,3020,548,0.1814569536423841
RC,high,2425,521,0.21484536082474226
RC,low,7232,3171,0.4384679203539823
RC,mid,6078,1773,0.2917077986179664
