,captains,doc_events,approvals,activation,nudges
captain_id,0.0,0.0,0.0,0.0,0.0
signup_ts,0.0,—,—,—,—
city,0.0,—,—,—,—
vehicle_type,0.0,—,—,—,—
acquisition_channel,0.0,—,—,—,—
signup_zone_id,0.0,—,—,—,—
device_tier,0.0,—,—,—,—
app_language,0.0,—,—,—,—
age_band,0.0,—,—,—,—
event_id,—,0.0,—,—,—
doc_type,—,0.0,—,—,—
attempt_no,—,0.0,—,—,—
event_type,—,0.0,—,—,—
event_ts,—,0.0,—,—,—
failure_reason,—,166510.0,—,—,—
decision_ts,—,—,20359.0,—,—
final_status,—,—,0.0,—,—
last_stage_reached,—,—,4393.0,—,—
docs_cleared,—,—,0.0,—,—
first_order_ts,—,—,—,102.0,—
orders_d7,—,—,—,187.0,—
orders_d30,—,—,—,834.0,—
online_hours_d30,—,—,—,834.0,—
campaign_id,—,—,—,—,0.0
channel,—,—,—,—,0.0
sent_ts,—,—,—,—,0.0
delivered,—,—,—,—,0.0
clicked,—,—,—,—,0.0
