doc_type,attempt_no,decided_attempts,pass_rate
AADHAAR,1,12083,0.9034180253248365
AADHAAR,2,718,0.9860724233983287
AADHAAR,3,7,1.0
DL,1,18959,0.8581148794767657
DL,2,1668,0.9508393285371702
DL,3,40,1.0
FITNESS,1,7694,0.7418767871068365
FITNESS,2,1307,0.8033664881407804
FITNESS,3,134,0.8134328358208955
INSURANCE,1,4586,0.6744439598778892
INSURANCE,2,939,0.7337593184238551
INSURANCE,3,143,0.7412587412587412
PERMIT,1,7624,0.8171563483735572
PERMIT,2,898,0.8752783964365256
PERMIT,3,58,0.7413793103448276
RC,1,15735,0.6526850969176994
RC,2,3418,0.6813926272674078
RC,3,549,0.7449908925318761
