,segment,signups,approved,active,a2o30,not_approved_d30,ci95_low,ci95_high,dimension
0,Bangalore,4420,755,751,0.17081447963800905,3665,0.1600065190399115,0.18219413912387664,city
1,Delhi,5215,1010,993,0.19367209971236818,4205,0.18317383606766632,0.20462132398650076,city
2,Hyderabad,6193,1040,1020,0.167931535604715,5153,0.1588281353366468,0.17744663829896357,city
3,Pune,4379,727,721,0.166019639187029,3652,0.1552923770355734,0.17733235340880835,city
4,Auto,9160,1455,1435,0.15884279475982532,7705,0.1515004773375425,0.16647113663183313,vehicle_type
5,Cab,7193,1156,1139,0.16071180314194355,6037,0.1524058803394544,0.16937992973731475,vehicle_type
6,ERickshaw,3854,921,911,0.2389724961079398,2933,0.22577284987346305,0.2526919804010684,vehicle_type
7,fos_field,5012,1340,1312,0.2673583399840383,3672,0.25528711234002677,0.2797859119679841,acquisition_channel
8,gc_telecalling,1176,172,168,0.14625850340136054,1004,0.12721416002605182,0.16760634845851838,acquisition_channel
9,organic_app,6758,1015,1005,0.1501923646049127,5743,0.1418734768214498,0.15890870968894028,acquisition_channel
10,paid_digital,2830,283,281,0.1,2547,0.08948352211170191,0.11160093060070714,acquisition_channel
11,referral,4431,722,719,0.16294290227939517,3709,0.15236157231453049,0.17410814983100517,acquisition_channel
12,high,3173,726,715,0.22880554680113457,2447,0.2145226446566997,0.24374430938926364,device_tier
13,low,9290,1296,1280,0.1395048439181916,7994,0.13260827338938888,0.1466994241135641,device_tier
14,mid,7744,1510,1490,0.1949896694214876,6234,0.18631765738005746,0.20396413592872759,device_tier
15,en,4000,739,726,0.18475,3261,0.17302747491315773,0.19707745408099908,app_language
16,hi,3995,708,700,0.1772215269086358,3287,0.16569220181465355,0.1893710017261595,app_language
17,kn,4089,716,703,0.17510393739300562,3373,0.1637613951099947,0.18705636151877425,app_language
18,mr,4016,663,655,0.16508964143426294,3353,0.1539283582541985,0.1768910216749869,app_language
19,te,4107,706,701,0.17190163136109082,3401,0.16067058678880647,0.18374587222658612,app_language
20,18-24,3659,621,613,0.1697185023230391,3038,0.15790323902727646,0.1822265407699117,age_band
21,25-34,8423,1468,1448,0.17428469666389648,6955,0.16633227412130647,0.18253408027574358,age_band
22,35-44,5697,1023,1011,0.17956819378620326,4674,0.16981821398004635,0.18975001355749596,age_band
23,45+,2428,420,413,0.17298187808896212,2008,0.15845683475899247,0.188540069895273,age_band
24,2026-01,3716,631,627,0.16980624327233584,3085,0.15807671752885438,0.18221774739224078,signup_month
25,2026-02,3600,659,648,0.18305555555555555,2941,0.17076325083162838,0.19602354429371768,signup_month
26,2026-03,4188,751,743,0.17932187201528177,3437,0.16799891295209307,0.19123257841359848,signup_month
27,2026-04,4123,717,699,0.1739024981809362,3406,0.16263807037206202,0.18577401988341835,signup_month
28,2026-05,4580,774,768,0.16899563318777291,3806,0.15842090847637483,0.18012515005592514,signup_month
