,doc_type,device_tier,failure_reason,captains
0,AADHAAR,high,details_not_legible,5
1,AADHAAR,high,document_expired,14
2,AADHAAR,high,duplicate_document,4
3,AADHAAR,high,image_blurred,16
4,AADHAAR,high,name_mismatch,27
5,AADHAAR,high,ocr_low_confidence,12
6,AADHAAR,high,wrong_document_type,13
7,AADHAAR,low,details_not_legible,20
8,AADHAAR,low,document_expired,34
9,AADHAAR,low,duplicate_document,15
10,AADHAAR,low,image_blurred,29
11,AADHAAR,low,name_mismatch,27
12,AADHAAR,low,ocr_low_confidence,22
13,AADHAAR,low,wrong_document_type,24
14,AADHAAR,mid,details_not_legible,20
15,AADHAAR,mid,document_expired,28
16,AADHAAR,mid,duplicate_document,10
17,AADHAAR,mid,image_blurred,37
18,AADHAAR,mid,name_mismatch,49
19,AADHAAR,mid,ocr_low_confidence,25
20,AADHAAR,mid,wrong_document_type,21
21,DL,high,details_not_legible,24
22,DL,high,document_expired,30
23,DL,high,duplicate_document,17
24,DL,high,image_blurred,35
25,DL,high,name_mismatch,46
26,DL,high,ocr_low_confidence,37
27,DL,high,wrong_document_type,19
28,DL,low,details_not_legible,58
29,DL,low,document_expired,71
30,DL,low,duplicate_document,35
31,DL,low,image_blurred,91
32,DL,low,name_mismatch,94
33,DL,low,ocr_low_confidence,71
34,DL,low,wrong_document_type,63
35,DL,mid,details_not_legible,37
36,DL,mid,document_expired,65
37,DL,mid,duplicate_document,24
38,DL,mid,image_blurred,72
39,DL,mid,name_mismatch,76
40,DL,mid,ocr_low_confidence,54
41,DL,mid,wrong_document_type,45
42,FITNESS,high,details_not_legible,10
43,FITNESS,high,document_expired,10
44,FITNESS,high,duplicate_document,4
45,FITNESS,high,image_blurred,17
46,FITNESS,high,name_mismatch,6
47,FITNESS,high,ocr_low_confidence,8
48,FITNESS,high,wrong_document_type,9
49,FITNESS,low,details_not_legible,52
50,FITNESS,low,document_expired,45
51,FITNESS,low,duplicate_document,25
52,FITNESS,low,image_blurred,167
53,FITNESS,low,name_mismatch,52
54,FITNESS,low,ocr_low_confidence,141
55,FITNESS,low,wrong_document_type,53
56,FITNESS,mid,details_not_legible,17
57,FITNESS,mid,document_expired,38
58,FITNESS,mid,duplicate_document,16
59,FITNESS,mid,image_blurred,53
60,FITNESS,mid,name_mismatch,52
61,FITNESS,mid,ocr_low_confidence,29
62,FITNESS,mid,wrong_document_type,23
63,INSURANCE,high,details_not_legible,9
64,INSURANCE,high,document_expired,12
65,INSURANCE,high,duplicate_document,8
66,INSURANCE,high,image_blurred,10
67,INSURANCE,high,name_mismatch,17
68,INSURANCE,high,ocr_low_confidence,8
69,INSURANCE,high,wrong_document_type,12
70,INSURANCE,low,details_not_legible,51
71,INSURANCE,low,document_expired,36
72,INSURANCE,low,duplicate_document,13
73,INSURANCE,low,image_blurred,132
74,INSURANCE,low,name_mismatch,47
75,INSURANCE,low,ocr_low_confidence,101
76,INSURANCE,low,wrong_document_type,28
77,INSURANCE,mid,details_not_legible,30
78,INSURANCE,mid,document_expired,39
79,INSURANCE,mid,duplicate_document,12
80,INSURANCE,mid,image_blurred,51
81,INSURANCE,mid,name_mismatch,38
82,INSURANCE,mid,ocr_low_confidence,24
83,INSURANCE,mid,wrong_document_type,20
84,PERMIT,high,details_not_legible,11
85,PERMIT,high,document_expired,19
86,PERMIT,high,duplicate_document,4
87,PERMIT,high,image_blurred,21
88,PERMIT,high,name_mismatch,21
89,PERMIT,high,ocr_low_confidence,10
90,PERMIT,high,wrong_document_type,10
91,PERMIT,low,details_not_legible,27
92,PERMIT,low,document_expired,54
93,PERMIT,low,duplicate_document,15
94,PERMIT,low,image_blurred,27
95,PERMIT,low,name_mismatch,36
96,PERMIT,low,ocr_low_confidence,36
97,PERMIT,low,wrong_document_type,39
98,PERMIT,mid,details_not_legible,21
99,PERMIT,mid,document_expired,47
100,PERMIT,mid,duplicate_document,20
101,PERMIT,mid,image_blurred,28
102,PERMIT,mid,name_mismatch,47
103,PERMIT,mid,ocr_low_confidence,31
104,PERMIT,mid,wrong_document_type,41
105,RC,high,details_not_legible,14
106,RC,high,document_expired,34
107,RC,high,duplicate_document,25
108,RC,high,image_blurred,53
109,RC,high,name_mismatch,38
110,RC,high,ocr_low_confidence,35
111,RC,high,wrong_document_type,22
112,RC,low,details_not_legible,165
113,RC,low,document_expired,128
114,RC,low,duplicate_document,63
115,RC,low,image_blurred,570
116,RC,low,name_mismatch,186
117,RC,low,ocr_low_confidence,454
118,RC,low,wrong_document_type,134
119,RC,mid,details_not_legible,107
120,RC,mid,document_expired,129
121,RC,mid,duplicate_document,75
122,RC,mid,image_blurred,132
123,RC,mid,name_mismatch,140
124,RC,mid,ocr_low_confidence,120
125,RC,mid,wrong_document_type,103
