,drop_zone_type,size,mean,buffer_hours
0,city_core,23101,0.5290680057140383,0
1,suburban,19467,0.16658961319155494,0
2,tech_park,9172,0.41321412996075013,0
3,city_core,22997,0.5288515893377397,6
4,suburban,19391,0.1667268320354804,6
5,tech_park,9139,0.41328372907320277,6
6,city_core,22711,0.5282021927700233,24
7,suburban,19130,0.16706743335075797,24
8,tech_park,9025,0.41329639889196673,24
9,city_core,22341,0.5279530907300479,48
10,suburban,18824,0.1669677008074798,48
11,tech_park,8884,0.41445294912201713,48
