,zone_id,hour,zone_hours,requests,fulfilled,unfulfilled,mean_online_per_zone_hour,fulfilment_rate,request_weighted_eta_min,request_weighted_surge
0,APT-T1,0,61,4507,1479,3028,12.754098360655737,0.32815620146438873,9.313447969824717,2.0705103172842243
1,APT-T1,1,61,5714,1550,4164,12.688524590163935,0.2712635631781589,10.057980399019952,2.149105705285264
2,APT-T1,2,61,4745,1565,3180,13.459016393442623,0.32982086406743943,9.577197049525818,2.0564552160168597
3,APT-T1,3,61,3071,1524,1547,13.967213114754099,0.4962552914360143,7.911361120156301,1.7753598176489742
4,APT-T1,4,61,2401,1635,766,14.934426229508198,0.6809662640566431,6.3549979175343605,1.4886838817159516
5,APT-T1,5,61,2678,1918,760,17.540983606557376,0.7162061239731142,5.97076923076923,1.439073935772965
6,APT-T1,6,61,3356,2408,948,21.737704918032787,0.7175208581644815,5.880488676996424,1.4431466030989273
7,APT-T1,7,61,3778,3128,650,29.540983606557376,0.8279512969825304,4.943965060878772,1.2738485971413447
8,APT-T1,8,61,3366,3222,144,37.49180327868852,0.9572192513368984,3.833119429590018,1.0604664289958408
9,APT-T1,9,61,2514,2453,61,45.98360655737705,0.9757358790771679,3.580206841686555,1.0438066825775656
10,APT-T1,10,61,1832,1771,61,54.868852459016395,0.9667030567685589,3.6553384279475982,1.0331823144104804
11,APT-T1,11,61,1493,1432,61,60.60655737704918,0.9591426657736102,3.8659678499665104,1.0361286001339585
12,APT-T1,12,61,1458,1397,61,64.88524590163935,0.958161865569273,3.6228737997256513,1.0382373113854595
13,APT-T1,13,61,1346,1285,61,60.09836065573771,0.9546805349182764,3.554903417533432,1.0373997028231798
14,APT-T1,14,61,1371,1310,61,52.83606557377049,0.9555069292487236,3.6924215900802335,1.0420933625091175
15,APT-T1,15,61,1402,1341,61,44.49180327868852,0.956490727532097,3.6865335235378036,1.036811697574893
16,APT-T1,16,61,1319,1258,61,35.68852459016394,0.9537528430629265,3.822160727824109,1.0405155420773313
17,APT-T1,17,61,1324,1263,61,29.0,0.9539274924471299,3.5673942598187316,1.0344788519637462
18,APT-T1,18,61,1305,1238,67,22.21311475409836,0.9486590038314177,3.562406130268199,1.0356704980842912
19,APT-T1,19,61,1434,1352,82,18.508196721311474,0.9428172942817294,3.570550906555091,1.0543654114365413
20,APT-T1,20,61,2198,1626,572,15.950819672131148,0.7397634212920837,5.618817106460418,1.3966151046405824
21,APT-T1,21,61,3651,1506,2145,13.557377049180328,0.41248972884141333,8.753281292796494,1.9297096685839497
22,APT-T1,22,61,5480,1554,3926,12.80327868852459,0.2835766423357664,9.885007299270073,2.14721897810219
23,APT-T1,23,61,6516,1676,4840,12.032786885245901,0.2572130141190915,10.176098833640271,2.1751258440761205
24,APT-T2,0,61,4617,1454,3163,12.442622950819672,0.3149231102447477,9.81559670781893,2.0812887156162008
25,APT-T2,1,61,5574,1593,3981,13.0,0.2857911733046286,9.660355220667384,2.1480104054538933
26,APT-T2,2,61,4755,1508,3247,12.967213114754099,0.3171398527865405,9.662500525762356,2.0813901156677184
27,APT-T2,3,61,3119,1392,1727,12.475409836065573,0.4462968900288554,8.287422250721386,1.8549727476755369
28,APT-T2,4,61,2317,1584,733,15.032786885245901,0.6836426413465688,6.279840310746655,1.4950755287009063
29,APT-T2,5,61,2613,1921,692,17.62295081967213,0.7351703023344814,5.864695752009185,1.4089360887868352
30,APT-T2,6,61,3420,2424,996,21.950819672131146,0.7087719298245614,6.0589532163742685,1.4527923976608188
31,APT-T2,7,61,3681,3142,539,29.901639344262296,0.8535723988046726,4.69590328715023,1.2172425971203478
32,APT-T2,8,61,3405,3184,221,36.01639344262295,0.9350954478707783,4.0550778267254035,1.0995183553597652
33,APT-T2,9,61,2633,2572,61,46.16393442622951,0.97683251044436,3.9299772123053556,1.0297835169008736
34,APT-T2,10,61,1967,1906,61,54.80327868852459,0.9689883070665989,3.6317488561260802,1.0477173360447383
35,APT-T2,11,61,1527,1466,61,58.57377049180328,0.9600523903077931,3.474787164374591,1.0355337262606419
36,APT-T2,12,61,1357,1296,61,61.59016393442623,0.9550478997789241,3.6309874723655122,1.0343625644804717
37,APT-T2,13,61,1348,1287,61,59.31147540983606,0.9547477744807121,3.650853115727003,1.0400890207715132
38,APT-T2,14,61,1317,1256,61,54.42622950819672,0.9536826119969628,3.555254365983296,1.0336294608959757
39,APT-T2,15,61,1296,1235,61,45.14754098360656,0.9529320987654321,3.655555555555556,1.0358487654320987
40,APT-T2,16,61,1377,1316,61,36.60655737704918,0.9557007988380537,3.5357443718228034,1.0368119099491648
41,APT-T2,17,61,1307,1246,61,28.524590163934427,0.9533282325937261,3.6620581484315227,1.0255241009946443
42,APT-T2,18,61,1396,1335,61,22.934426229508198,0.9563037249283668,3.695823782234957,1.0402936962750717
43,APT-T2,19,61,1540,1418,122,17.78688524590164,0.9207792207792208,3.9419935064935063,1.091383116883117
44,APT-T2,20,61,2148,1561,587,15.344262295081966,0.7267225325884544,5.6789664804469275,1.4220437616387338
45,APT-T2,21,61,3642,1440,2202,13.131147540983607,0.3953871499176277,8.928042284459089,1.9491570565623284
46,APT-T2,22,61,5708,1592,4116,13.245901639344263,0.27890679747722497,9.899907147862649,2.1420304835318853
47,APT-T2,23,61,6491,1737,4754,13.098360655737705,0.26760129409952244,9.909097211523648,2.158340779540903
